date,unemployment number,isPartial
2015-10-18,52,False
2015-10-25,51,False
2015-11-01,53,False
2015-11-08,55,False
2015-11-15,53,False
2015-11-22,50,False
2015-11-29,61,False
2015-12-06,59,False
2015-12-13,61,False
2015-12-20,53,False
2015-12-27,65,False
2016-01-03,83,False
2016-01-10,74,False
2016-01-17,69,False
2016-01-24,71,False
2016-01-31,69,False
2016-02-07,61,False
2016-02-14,62,False
2016-02-21,53,False
2016-02-28,51,False
2016-03-06,53,False
2016-03-13,53,False
2016-03-20,48,False
2016-03-27,52,False
2016-04-03,50,False
2016-04-10,54,False
2016-04-17,49,False
2016-04-24,48,False
2016-05-01,50,False
2016-05-08,49,False
2016-05-15,50,False
2016-05-22,52,False
2016-05-29,52,False
2016-06-05,49,False
2016-06-12,50,False
2016-06-19,54,False
2016-06-26,53,False
2016-07-03,57,False
2016-07-10,53,False
2016-07-17,52,False
2016-07-24,49,False
2016-07-31,52,False
2016-08-07,41,False
2016-08-14,44,False
2016-08-21,42,False
2016-08-28,49,False
2016-09-04,44,False
2016-09-11,46,False
2016-09-18,44,False
2016-09-25,46,False
2016-10-02,46,False
2016-10-09,51,False
2016-10-16,52,False
2016-10-23,50,False
2016-10-30,53,False
2016-11-06,50,False
2016-11-13,58,False
2016-11-20,46,False
2016-11-27,69,False
2016-12-04,60,False
2016-12-11,61,False
2016-12-18,63,False
2016-12-25,72,False
2017-01-01,88,False
2017-01-08,75,False
2017-01-15,78,False
2017-01-22,69,False
2017-01-29,73,False
2017-02-05,63,False
2017-02-12,60,False
2017-02-19,60,False
2017-02-26,54,False
2017-03-05,55,False
2017-03-12,48,False
2017-03-19,48,False
2017-03-26,49,False
2017-04-02,51,False
2017-04-09,53,False
2017-04-16,49,False
2017-04-23,45,False
2017-04-30,46,False
2017-05-07,47,False
2017-05-14,48,False
2017-05-21,49,False
2017-05-28,58,False
2017-06-04,52,False
2017-06-11,52,False
2017-06-18,55,False
2017-06-25,55,False
2017-07-02,58,False
2017-07-09,56,False
2017-07-16,57,False
2017-07-23,50,False
2017-07-30,56,False
2017-08-06,53,False
2017-08-13,46,False
2017-08-20,45,False
2017-08-27,52,False
2017-09-03,46,False
2017-09-10,48,False
2017-09-17,46,False
2017-09-24,48,False
2017-10-01,46,False
2017-10-08,47,False
2017-10-15,47,False
2017-10-22,47,False
2017-10-29,46,False
2017-11-05,49,False
2017-11-12,54,False
2017-11-19,45,False
2017-11-26,59,False
2017-12-03,59,False
2017-12-10,57,False
2017-12-17,56,False
2017-12-24,60,False
2017-12-31,72,False
2018-01-07,75,False
2018-01-14,65,False
2018-01-21,63,False
2018-01-28,60,False
2018-02-04,56,False
2018-02-11,48,False
2018-02-18,49,False
2018-02-25,48,False
2018-03-04,46,False
2018-03-11,46,False
2018-03-18,43,False
2018-03-25,49,False
2018-04-01,47,False
2018-04-08,43,False
2018-04-15,45,False
2018-04-22,40,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,42,False
2018-05-20,40,False
2018-05-27,46,False
2018-06-03,45,False
2018-06-10,43,False
2018-06-17,46,False
2018-06-24,52,False
2018-07-01,48,False
2018-07-08,53,False
2018-07-15,47,False
2018-07-22,43,False
2018-07-29,48,False
2018-08-05,45,False
2018-08-12,45,False
2018-08-19,40,False
2018-08-26,39,False
2018-09-02,38,False
2018-09-09,40,False
2018-09-16,41,False
2018-09-23,40,False
2018-09-30,42,False
2018-10-07,43,False
2018-10-14,41,False
2018-10-21,42,False
2018-10-28,42,False
2018-11-04,47,False
2018-11-11,45,False
2018-11-18,41,False
2018-11-25,51,False
2018-12-02,47,False
2018-12-09,49,False
2018-12-16,54,False
2018-12-23,52,False
2018-12-30,59,False
