date,unemployment login,isPartial
2018-03-04,51,False
2018-03-11,46,False
2018-03-18,41,False
2018-03-25,52,False
2018-04-01,58,False
2018-04-08,63,False
2018-04-15,62,False
2018-04-22,55,False
2018-04-29,53,False
2018-05-06,54,False
2018-05-13,51,False
2018-05-20,50,False
2018-05-27,56,False
2018-06-03,55,False
2018-06-10,58,False
2018-06-17,62,False
2018-06-24,58,False
2018-07-01,59,False
2018-07-08,63,False
2018-07-15,64,False
2018-07-22,61,False
2018-07-29,54,False
2018-08-05,56,False
2018-08-12,58,False
2018-08-19,54,False
2018-08-26,51,False
2018-09-02,44,False
2018-09-09,47,False
2018-09-16,41,False
2018-09-23,44,False
2018-09-30,37,False
2018-10-07,52,False
2018-10-14,45,False
2018-10-21,50,False
2018-10-28,51,False
2018-11-04,45,False
2018-11-11,53,False
2018-11-18,51,False
2018-11-25,60,False
2018-12-02,58,False
2018-12-09,69,False
2018-12-16,69,False
2018-12-23,79,False
2018-12-30,100,False
